frame_count,frame_path,timestamp,start_seconds,drone_latitude,drone_longitude,rel_alt_m,heading_deg,heading_source,camera_angle_deg,camera_angle_source,ground_latitude,ground_longitude
737,data/processed/frames_v11_1fps/frame_000001.jpg,2024-06-19 11:01:55.754,24.555,32.102538,35.209675,11.4,341.76671379799734,trajectory,60.0,fixed,32.10259415660011,35.209653161322194
767,data/processed/frames_v11_1fps/frame_000002.jpg,2024-06-19 11:01:56.755,25.556,32.102539,35.209675,11.4,341.76671379799734,trajectory,60.0,fixed,32.10259515660011,35.209653161322194
797,data/processed/frames_v11_1fps/frame_000003.jpg,2024-06-19 11:01:57.755,26.557,32.102538,35.209677,11.4,341.76671379799734,trajectory,60.0,fixed,32.10259415660011,35.209655161322196
827,data/processed/frames_v11_1fps/frame_000004.jpg,2024-06-19 11:01:58.756,27.558,32.102537,35.209678,11.7,341.76671379799734,trajectory,60.0,fixed,32.10259463440537,35.209655586620144
857,data/processed/frames_v11_1fps/frame_000005.jpg,2024-06-19 11:01:59.757,28.558,32.102536,35.209678,14.4,341.76671379799734,trajectory,60.0,fixed,32.10260693465277,35.20965041430172
887,data/processed/frames_v11_1fps/frame_000006.jpg,2024-06-19 11:02:00.758,29.559,32.102534,35.209679,17.4,341.76671379799734,trajectory,60.0,fixed,32.10261971270543,35.209645667281244
917,data/processed/frames_v11_1fps/frame_000007.jpg,2024-06-19 11:02:01.759,30.56,32.102534,35.20968,20.4,341.76671379799734,trajectory,60.0,fixed,32.10263449075809,35.20964092026077
947,data/processed/frames_v11_1fps/frame_000008.jpg,2024-06-19 11:02:02.760,31.561,32.102533,35.209681,23.4,341.76671379799734,trajectory,60.0,fixed,32.102648268810746,35.2096361732403
977,data/processed/frames_v11_1fps/frame_000009.jpg,2024-06-19 11:02:03.761,32.562,32.102532,35.209682,26.4,341.76671379799734,trajectory,60.0,fixed,32.10266204686341,35.209631426219815
1007,data/processed/frames_v11_1fps/frame_000010.jpg,2024-06-19 11:02:04.762,33.563,32.102532,35.209683,29.4,341.76671379799734,trajectory,60.0,fixed,32.10267682491607,35.209626679199346
1037,data/processed/frames_v11_1fps/frame_000011.jpg,2024-06-19 11:02:05.764,34.564,32.10253,35.209685,32.4,341.76671379799734,trajectory,60.0,fixed,32.102689602968724,35.209622932178874
1067,data/processed/frames_v11_1fps/frame_000012.jpg,2024-06-19 11:02:06.765,35.565,32.102529,35.209687,35.4,341.76671379799734,trajectory,60.0,fixed,32.102703381021385,35.209619185158395
