frame_count,sample_time,gps_datetime,latitude,longitude,rel_alt,drone_roll,drone_pitch,drone_yaw,gimbal_pitch,gimbal_yaw
1,0.0,2026:04:27 12:27:35.000Z,32.1024824483996,35.2096866466701,49.8,4.3,7.0,-157.0,-45.3,-150.1
2,0.0333666666666667,2026:04:27 12:27:35.033Z,32.1024825615483,35.2096866736076,49.8,4.0,6.8,-157.0,-45.3,-150.1
3,0.0667333333333333,2026:04:27 12:27:35.067Z,32.1024825615483,35.2096866736076,49.8,4.0,6.8,-157.0,-45.3,-150.1
4,0.1001,2026:04:27 12:27:35.100Z,32.1024825615483,35.2096866736076,49.8,4.0,6.8,-157.0,-45.3,-150.1
5,0.133466666666667,2026:04:27 12:27:35.133Z,32.1024826010638,35.209686666401,49.8,4.0,6.7,-157.0,-45.3,-150.1
6,0.166833333333333,2026:04:27 12:27:35.167Z,32.1024826010638,35.209686666401,49.8,4.0,6.7,-157.0,-45.3,-150.1
7,0.2002,2026:04:27 12:27:35.200Z,32.1024826010638,35.209686666401,49.8,4.0,6.7,-157.0,-45.3,-150.1
8,0.233566666666667,2026:04:27 12:27:35.234Z,32.1024826956286,35.2096866866427,49.8,3.8,6.7,-157.0,-45.3,-150.1
9,0.266933333333333,2026:04:27 12:27:35.267Z,32.1024826956286,35.2096866866427,49.8,3.8,6.7,-157.0,-45.3,-150.1
10,0.3003,2026:04:27 12:27:35.300Z,32.1024826956286,35.2096866866427,49.8,3.8,6.7,-157.0,-45.3,-150.1
11,0.333666666666667,2026:04:27 12:27:35.334Z,32.1024827391539,35.2096866930198,49.8,3.5,6.7,-157.1,-45.3,-150.1
12,0.367033333333333,2026:04:27 12:27:35.367Z,32.1024827391539,35.2096866930198,49.8,3.5,6.7,-157.1,-45.3,-150.1
13,0.4004,2026:04:27 12:27:35.400Z,32.1024827391539,35.2096866930198,49.8,3.5,6.7,-157.1,-45.3,-150.1
14,0.433766666666667,2026:04:27 12:27:35.434Z,32.1024827855153,35.2096865778029,49.8,3.5,6.7,-157.1,-45.3,-150.1
15,0.467133333333333,2026:04:27 12:27:35.467Z,32.1024827855153,35.2096865778029,49.8,3.5,6.7,-157.1,-45.3,-150.1
16,0.5005,2026:04:27 12:27:35.500Z,32.1024827855153,35.2096865778029,49.8,3.5,6.7,-157.1,-45.3,-150.1
17,0.533866666666667,2026:04:27 12:27:35.534Z,32.1024828148692,35.2096865655113,49.8,3.5,6.6,-157.1,-45.3,-150.1
18,0.567233333333333,2026:04:27 12:27:35.567Z,32.1024828148692,35.2096865655113,49.8,3.5,6.6,-157.1,-45.3,-150.1
19,0.6006,2026:04:27 12:27:35.601Z,32.1024828148692,35.2096865655113,49.8,3.5,6.6,-157.1,-45.3,-150.1
20,0.633966666666667,2026:04:27 12:27:35.634Z,32.1024827362408,35.2096863831517,49.8,3.6,6.4,-157.1,-45.3,-150.1
21,0.667333333333333,2026:04:27 12:27:35.667Z,32.1024827362408,35.2096863831517,49.8,3.6,6.4,-157.1,-45.3,-150.1
22,0.7007,2026:04:27 12:27:35.701Z,32.1024827362408,35.2096863831517,49.8,3.6,6.4,-157.1,-45.3,-150.1
23,0.734066666666667,2026:04:27 12:27:35.734Z,32.1024827318712,35.2096863299191,49.8,3.7,6.2,-157.1,-45.3,-150.1
24,0.767433333333333,2026:04:27 12:27:35.767Z,32.1024827318712,35.2096863299191,49.8,3.7,6.2,-157.1,-45.3,-150.1
25,0.8008,2026:04:27 12:27:35.801Z,32.1024827318712,35.2096863299191,49.8,3.7,6.2,-157.1,-45.3,-150.1
26,0.834166666666667,2026:04:27 12:27:35.834Z,32.1024828404446,35.209686279569,49.8,3.9,6.1,-157.0,-45.3,-150.1
27,0.867533333333333,2026:04:27 12:27:35.868Z,32.1024828404446,35.209686279569,49.8,3.9,6.1,-157.0,-45.3,-150.1
28,0.9009,2026:04:27 12:27:35.901Z,32.1024828404446,35.209686279569,49.8,3.9,6.1,-157.0,-45.3,-150.1
