query_frame_index,query_time_s,query_timecode,prediction_target,pred_latitude,pred_longitude,raw_pred_latitude,raw_pred_longitude,matched_reference_image,matched_reference_flight,matched_reference_frame_index,matched_reference_time_s,matched_reference_timecode,retrieval_distance,retrieval_similarity,selected_query_scale,orb_good_matches,homography_inliers,mean_match_distance,verification_inlier_ratio,projected_center_x,projected_center_y,projected_center_inside,homography_quad_area_frac,homography_geometry_ok,verification_geometry_reason,query_inlier_bbox_area_frac,query_inlier_bbox_width_frac,query_inlier_bbox_height_frac,reference_inlier_bbox_area_frac,reference_inlier_bbox_width_frac,reference_inlier_bbox_height_frac,temporal_filter_enabled,filter_accepted,filter_reason,filter_visual_score,filter_temporal_distance_m,filter_fused_score,truth_latitude_eval_only,truth_longitude_eval_only,error_m_eval_only,processing_time_ms,debug_image,resolved_reference_image,debug_match_backend,debug_good_matches_recomputed,debug_inliers_recomputed,debug_homography_found,debug_reference_path,debug_selected_query_scale_used,debug_query_accepted_masks,debug_reference_accepted_masks
1710,57.057,00:00:57.057,center,32.10629465,35.20673732,32.10629465,35.20673732,data\processed\reference_frames\DJI_0006\DJI_0006_frame_022950.jpg,DJI_0006,22950,765.765,00:12:45.765,0.402911,0.597089,0.3000,30,10,418.251,0.333333,686.222,318.827,1,0.720275,1,ok,0.042908,0.216797,0.197917,0.037526,0.116211,0.322917,0,1,accepted,1.065276,,1.065276,,,,9483.48,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0000_query_001710_ref_DJI_0006_22950_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_022950.jpg,LightGlue,30,10,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_022950.jpg,0.3000,0,0
1800,60.060,00:01:00.060,center,32.10629465,35.20673732,32.10629465,35.20673732,data\processed\reference_frames\DJI_0006\DJI_0006_frame_022950.jpg,DJI_0006,22950,765.765,00:12:45.765,0.369674,0.630326,0.3000,49,15,329.549,0.306122,650.496,417.005,1,0.544719,1,ok,0.066279,0.243164,0.272569,0.023926,0.123047,0.194444,0,1,accepted,2.897556,,2.897556,,,,7722.13,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0001_query_001800_ref_DJI_0006_22950_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_022950.jpg,LightGlue,49,15,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_022950.jpg,0.3000,0,0
1935,64.564,00:01:04.564,center,32.10622848,35.20683395,32.10622848,35.20683395,data\processed\reference_frames\DJI_0008\DJI_0008_frame_007650.jpg,DJI_0008,7650,255.255,00:04:15.255,0.365604,0.634396,0.2000,69,18,470.706,0.260870,483.562,510.963,1,1.958103,1,ok,0.030002,0.154297,0.194444,0.026718,0.149414,0.178819,0,1,accepted,1.464410,,1.464410,,,,8330.09,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0002_query_001935_ref_DJI_0008_7650_accepted.jpg,data\processed\reference_frames\DJI_0008\DJI_0008_frame_007650.jpg,LightGlue,69,18,1,data\processed\reference_frames\DJI_0008\DJI_0008_frame_007650.jpg,0.2000,0,0
1980,66.066,00:01:06.066,center,32.10570896,35.20741207,32.10570896,35.20741207,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019620.jpg,DJI_0006,19620,654.654,00:10:54.654,0.359988,0.640012,0.3000,43,11,355.509,0.255814,1161.531,119.133,1,0.003070,1,ok,0.011464,0.143555,0.079861,0.009428,0.081055,0.116319,0,1,accepted,2.074924,,2.074924,,,,7720.16,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0003_query_001980_ref_DJI_0006_19620_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019620.jpg,LightGlue,43,11,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019620.jpg,0.3000,0,0
2025,67.567,00:01:07.568,center,32.10570896,35.20741207,32.10570896,35.20741207,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019620.jpg,DJI_0006,19620,654.654,00:10:54.654,0.348346,0.651654,0.3000,59,15,348.979,0.254237,1101.760,260.382,1,0.441784,1,ok,0.024677,0.200195,0.123264,0.011563,0.121094,0.095486,0,1,accepted,2.695325,,2.695325,,,,7422.15,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0004_query_002025_ref_DJI_0006_19620_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019620.jpg,LightGlue,59,15,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019620.jpg,0.3000,0,0
2115,70.570,00:01:10.570,center,32.10577196,35.20760907,32.10577196,35.20760907,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019560.jpg,DJI_0006,19560,652.652,00:10:52.652,0.379807,0.620193,0.2000,69,19,381.197,0.275362,1050.240,197.109,1,0.830289,1,ok,0.026048,0.163086,0.159722,0.018438,0.122070,0.151042,0,1,accepted,2.655020,,2.655020,,,,12028.86,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0005_query_002115_ref_DJI_0006_19560_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019560.jpg,LightGlue,69,19,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019560.jpg,0.2000,0,0
2160,72.072,00:01:12.072,center,32.10577196,35.20760907,32.10577196,35.20760907,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019560.jpg,DJI_0006,19560,652.652,00:10:52.652,0.414725,0.585275,0.2000,57,23,383.779,0.403509,1046.102,196.209,1,1.130874,1,ok,0.022583,0.144531,0.156250,0.018311,0.105469,0.173611,0,1,accepted,2.906018,,2.906018,,,,8057.88,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0006_query_002160_ref_DJI_0006_19560_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019560.jpg,LightGlue,57,23,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019560.jpg,0.2000,0,0
2205,73.573,00:01:13.574,center,32.10570896,35.20741207,32.10570896,35.20741207,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019620.jpg,DJI_0006,19620,654.654,00:10:54.654,0.373450,0.626550,0.3000,24,10,291.804,0.416667,1057.876,309.408,1,0.646727,1,ok,0.039429,0.166992,0.236111,0.013394,0.077148,0.173611,0,1,accepted,2.685635,,2.685635,,,,6614.24,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0007_query_002205_ref_DJI_0006_19620_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019620.jpg,LightGlue,24,10,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019620.jpg,0.3000,0,0
2250,75.075,00:01:15.075,center,32.10570896,35.20741207,32.10570896,35.20741207,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019620.jpg,DJI_0006,19620,654.654,00:10:54.654,0.355413,0.644587,0.2000,78,27,281.170,0.346154,1047.451,296.627,1,2.023522,1,ok,0.029653,0.161133,0.184028,0.016937,0.131836,0.128472,0,1,accepted,4.529346,,4.529346,,,,7587.83,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0008_query_002250_ref_DJI_0006_19620_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019620.jpg,LightGlue,78,27,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019620.jpg,0.2000,0,0
2295,76.576,00:01:16.576,center,32.10573289,35.20751367,32.10573289,35.20751367,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019590.jpg,DJI_0006,19590,653.653,00:10:53.653,0.313332,0.686668,0.2000,70,20,333.734,0.285714,1032.930,234.405,1,0.868856,1,ok,0.037613,0.141602,0.265625,0.027205,0.110352,0.246528,0,1,accepted,3.406619,,3.406619,,,,7042.57,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0009_query_002295_ref_DJI_0006_19590_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019590.jpg,LightGlue,70,20,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019590.jpg,0.2000,0,0
