query_frame_index,query_time_s,query_timecode,prediction_target,pred_latitude,pred_longitude,raw_pred_latitude,raw_pred_longitude,matched_reference_image,matched_reference_flight,matched_reference_frame_index,matched_reference_time_s,matched_reference_timecode,retrieval_distance,retrieval_similarity,selected_query_scale,orb_good_matches,homography_inliers,mean_match_distance,verification_inlier_ratio,projected_center_x,projected_center_y,projected_center_inside,homography_quad_area_frac,homography_geometry_ok,verification_geometry_reason,query_inlier_bbox_area_frac,query_inlier_bbox_width_frac,query_inlier_bbox_height_frac,reference_inlier_bbox_area_frac,reference_inlier_bbox_width_frac,reference_inlier_bbox_height_frac,temporal_filter_enabled,filter_accepted,filter_reason,filter_visual_score,filter_temporal_distance_m,filter_fused_score,truth_latitude_eval_only,truth_longitude_eval_only,error_m_eval_only,processing_time_ms,stage10_original_filter_accepted,stage10_original_filter_reason,stage10_original_pred_latitude,stage10_original_pred_longitude,stage10_seed_trusted,stage10_expected_latitude,stage10_expected_longitude,stage10_expected_method,stage10_path_window_id,stage10_local_rerun_replaced,stage10_local_rerun_score,stage10_local_rerun_dist_to_expected_m,stage10_final_source,filtered_latitude,filtered_longitude,filtered_method,debug_image,resolved_reference_image,debug_match_backend,debug_good_matches_recomputed,debug_inliers_recomputed,debug_homography_found,debug_reference_path,debug_selected_query_scale_used,debug_query_accepted_masks,debug_reference_accepted_masks
360,12.012,00:00:12.012,center,32.10512926,35.20643305,32.10512926,35.20643305,data\processed\reference_frames\DJI_0006\DJI_0006_frame_021900.jpg,DJI_0006,21900,730.730,00:12:10.730,0.476427,0.523573,0.3000,75,30,199.097,0.400000,833.591,407.819,1,2.756191,1,ok,0.051375,0.212891,0.241319,0.019806,0.115234,0.171875,0,1,accepted,5.609428,,5.609428,,,,18814.26,0,not_enough_good_matches,32.10238671,35.21011185,0,32.10629465,35.20673732,hold_next_seed,001,1,19.897146,132.717,local_path_rerun,32.10512926,35.20643305,local_path_rerun_visual,data\processed\debug_matches\DJI_0011_every45_stage10_3_FINAL_accepted_debug\feature_match_0000_query_000360_ref_DJI_0006_21900_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_021900.jpg,LightGlue,75,30,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_021900.jpg,0.3000,0,0
405,13.514,00:00:13.514,center,32.10512926,35.20643305,32.10512926,35.20643305,data\processed\reference_frames\DJI_0006\DJI_0006_frame_021900.jpg,DJI_0006,21900,730.730,00:12:10.730,0.478062,0.521938,0.2000,59,26,192.885,0.440678,834.330,402.224,1,0.348694,1,ok,0.018297,0.148438,0.123264,0.015154,0.106445,0.142361,0,1,accepted,5.443247,,5.443247,,,,13877.71,0,not_enough_good_matches,32.10401783,35.20971289,0,32.10629465,35.20673732,hold_next_seed,001,1,18.097266,132.717,local_path_rerun,32.10512926,35.20643305,local_path_rerun_visual,data\processed\debug_matches\DJI_0011_every45_stage10_3_FINAL_accepted_debug\feature_match_0001_query_000405_ref_DJI_0006_21900_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_021900.jpg,LightGlue,59,26,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_021900.jpg,0.2000,0,0
450,15.015,00:00:15.015,center,32.10512926,35.20643305,32.10512926,35.20643305,data\processed\reference_frames\DJI_0006\DJI_0006_frame_021900.jpg,DJI_0006,21900,730.730,00:12:10.730,0.477523,0.522477,0.2000,68,30,195.268,0.441176,832.427,400.145,1,0.033849,1,ok,0.017412,0.154297,0.112847,0.010783,0.103516,0.104167,0,1,accepted,5.664076,,5.664076,,,,12246.06,0,not_enough_good_matches,32.10401783,35.20971289,0,32.10629465,35.20673732,hold_next_seed,001,1,19.517501,132.717,local_path_rerun,32.10512926,35.20643305,local_path_rerun_visual,data\processed\debug_matches\DJI_0011_every45_stage10_3_FINAL_accepted_debug\feature_match_0002_query_000450_ref_DJI_0006_21900_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_021900.jpg,LightGlue,68,30,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_021900.jpg,0.2000,0,0
495,16.517,00:00:16.516,center,32.10512926,35.20643305,32.10512926,35.20643305,data\processed\reference_frames\DJI_0006\DJI_0006_frame_021900.jpg,DJI_0006,21900,730.730,00:12:10.730,0.480613,0.519387,0.2000,80,27,181.708,0.337500,838.190,409.400,1,0.277126,1,ok,0.030611,0.153320,0.199653,0.028212,0.125000,0.225694,0,1,accepted,5.635327,,5.635327,,,,12678.14,0,not_enough_good_matches,32.10237431,35.21014608,0,32.10629465,35.20673732,hold_next_seed,001,1,19.492941,132.717,local_path_rerun,32.10512926,35.20643305,local_path_rerun_visual,data\processed\debug_matches\DJI_0011_every45_stage10_3_FINAL_accepted_debug\feature_match_0003_query_000495_ref_DJI_0006_21900_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_021900.jpg,LightGlue,80,27,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_021900.jpg,0.2000,0,0
540,18.018,00:00:18.018,center,32.10512926,35.20643305,32.10512926,35.20643305,data\processed\reference_frames\DJI_0006\DJI_0006_frame_021900.jpg,DJI_0006,21900,730.730,00:12:10.730,0.414474,0.585526,0.3000,76,34,273.225,0.447368,827.807,352.562,1,4.017937,1,ok,0.063349,0.258789,0.244792,0.013204,0.128906,0.102431,0,1,accepted,4.979915,,4.979915,,,,15806.39,1,accepted,32.10319636,35.20763035,0,32.10629465,35.20673732,hold_next_seed,001,1,21.007892,132.717,local_path_rerun,32.10512926,35.20643305,local_path_rerun_visual,data\processed\debug_matches\DJI_0011_every45_stage10_3_FINAL_accepted_debug\feature_match_0004_query_000540_ref_DJI_0006_21900_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_021900.jpg,LightGlue,76,34,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_021900.jpg,0.3000,0,0
585,19.520,00:00:19.520,center,32.10512926,35.20643305,32.10512926,35.20643305,data\processed\reference_frames\DJI_0006\DJI_0006_frame_021900.jpg,DJI_0006,21900,730.730,00:12:10.730,0.420620,0.579380,0.3000,86,28,277.479,0.325581,816.323,335.999,1,0.319998,1,ok,0.082186,0.270508,0.303819,0.023838,0.144531,0.164931,0,1,accepted,4.568821,,4.568821,,,,12936.30,0,not_enough_inliers,32.10319636,35.20763035,0,32.10629465,35.20673732,hold_next_seed,001,1,19.719998,132.717,local_path_rerun,32.10512926,35.20643305,local_path_rerun_visual,data\processed\debug_matches\DJI_0011_every45_stage10_3_FINAL_accepted_debug\feature_match_0005_query_000585_ref_DJI_0006_21900_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_021900.jpg,LightGlue,86,28,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_021900.jpg,0.3000,0,0
765,25.526,00:00:25.526,center,32.10567164,35.20649869,32.10567164,35.20649869,data\processed\reference_frames\DJI_0006\DJI_0006_frame_022080.jpg,DJI_0006,22080,736.736,00:12:16.736,0.402668,0.597332,0.3000,25,10,169.791,0.400000,827.122,523.934,1,0.304953,1,ok,0.044264,0.238281,0.185764,0.006375,0.078125,0.081597,0,1,accepted,4.175477,,4.175477,,,,13995.02,0,not_enough_good_matches,32.10262518,35.20970120,0,32.10629465,35.20673732,hold_next_seed,001,1,12.544664,72.831,local_path_rerun,32.10567164,35.20649869,local_path_rerun_visual,data\processed\debug_matches\DJI_0011_every45_stage10_3_FINAL_accepted_debug\feature_match_0006_query_000765_ref_DJI_0006_22080_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_022080.jpg,LightGlue,25,10,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_022080.jpg,0.3000,0,0
900,30.030,00:00:30.030,center,32.10586027,35.20568619,32.10586027,35.20568619,data\processed\reference_frames\DJI_0007\DJI_0007_frame_000660.jpg,DJI_0007,660,22.022,00:00:22.022,0.370422,0.629578,0.3000,122,42,430.012,0.344262,1366.454,375.312,1,0.763733,1,ok,0.085525,0.288086,0.296875,0.052972,0.208984,0.253472,0,1,accepted,3.428317,,3.428317,,,,14308.95,0,not_enough_good_matches,32.10418442,35.20766886,0,32.10629465,35.20673732,hold_next_seed,001,1,22.247133,110.159,local_path_rerun,32.10586027,35.20568619,local_path_rerun_visual,data\processed\debug_matches\DJI_0011_every45_stage10_3_FINAL_accepted_debug\feature_match_0007_query_000900_ref_DJI_0007_660_accepted.jpg,data\processed\reference_frames\DJI_0007\DJI_0007_frame_000660.jpg,LightGlue,122,42,1,data\processed\reference_frames\DJI_0007\DJI_0007_frame_000660.jpg,0.3000,0,0
945,31.532,00:00:31.532,center,32.10603658,35.20572875,32.10603658,35.20572875,data\processed\reference_frames\DJI_0007\DJI_0007_frame_000720.jpg,DJI_0007,720,24.024,00:00:24.024,0.337006,0.662994,0.3000,124,38,383.278,0.306452,1369.193,421.257,1,3.806360,1,ok,0.044054,0.226562,0.194444,0.035945,0.186523,0.192708,0,1,accepted,3.877432,,3.877432,,,,15558.92,0,not_enough_good_matches,32.10420242,35.20777286,0,32.10629465,35.20673732,hold_next_seed,001,1,21.458248,99.236,local_path_rerun,32.10603658,35.20572875,local_path_rerun_visual,data\processed\debug_matches\DJI_0011_every45_stage10_3_FINAL_accepted_debug\feature_match_0008_query_000945_ref_DJI_0007_720_accepted.jpg,data\processed\reference_frames\DJI_0007\DJI_0007_frame_000720.jpg,LightGlue,124,38,1,data\processed\reference_frames\DJI_0007\DJI_0007_frame_000720.jpg,0.3000,0,0
990,33.033,00:00:33.033,center,32.10603658,35.20572875,32.10603658,35.20572875,data\processed\reference_frames\DJI_0007\DJI_0007_frame_000720.jpg,DJI_0007,720,24.024,00:00:24.024,0.339933,0.660067,0.3000,95,26,385.757,0.273684,1337.758,333.398,1,2.610023,1,ok,0.053538,0.270508,0.197917,0.031989,0.173828,0.184028,0,1,accepted,3.187051,,3.187051,,,,16287.32,0,not_enough_good_matches,32.10389206,35.20868100,0,32.10629465,35.20673732,hold_next_seed,001,1,19.288554,99.236,local_path_rerun,32.10603658,35.20572875,local_path_rerun_visual,data\processed\debug_matches\DJI_0011_every45_stage10_3_FINAL_accepted_debug\feature_match_0009_query_000990_ref_DJI_0007_720_accepted.jpg,data\processed\reference_frames\DJI_0007\DJI_0007_frame_000720.jpg,LightGlue,95,26,1,data\processed\reference_frames\DJI_0007\DJI_0007_frame_000720.jpg,0.3000,0,0
