query_dataset,query_frame_count,query_frame_path,reference_dataset,reference_frame_count,reference_frame_path,similarity,top_k,oracle_top_k_error_m,query_ground_latitude,query_ground_longitude,estimated_ground_latitude,estimated_ground_longitude,position_error_m
v14,1,data/processed/frames_v14_1fps/frame_000001.jpg,v13,24879,data/processed/frames_v13_1fps/frame_000831.jpg,0.997356116771698,10,7.146014258501316,32.10455677694773,35.20442785378902,32.10449723423704,35.20438617837347,7.705727148796552
v14,31,data/processed/frames_v14_1fps/frame_000002.jpg,v13,24879,data/processed/frames_v13_1fps/frame_000831.jpg,0.9948263168334961,10,10.553959323116754,32.104572768755574,35.204454347381414,32.10449723423704,35.20438617837347,10.584161711133305
v14,61,data/processed/frames_v14_1fps/frame_000003.jpg,v13,24879,data/processed/frames_v13_1fps/frame_000831.jpg,0.9947047233581543,10,13.147461241330562,32.10455932596225,35.204504779459725,32.10449723423704,35.20438617837347,13.147461241330562
v14,91,data/processed/frames_v14_1fps/frame_000004.jpg,v13,24219,data/processed/frames_v13_1fps/frame_000809.jpg,0.9915457963943481,10,19.43898802330813,32.104527948686,35.20458910770476,32.10455412435829,35.204283866216265,28.930928363053738
v14,121,data/processed/frames_v14_1fps/frame_000005.jpg,v13,24879,data/processed/frames_v13_1fps/frame_000831.jpg,0.9890086650848389,10,29.025665903681812,32.10449042019838,35.204693879470966,32.10449723423704,35.20438617837347,29.025665903681812
v14,151,data/processed/frames_v14_1fps/frame_000006.jpg,v13,24819,data/processed/frames_v13_1fps/frame_000829.jpg,0.9848148226737976,10,39.06546971223486,32.10444876391301,35.20479648235561,32.10449723423704,35.20438617837347,39.06546971223486
v14,181,data/processed/frames_v14_1fps/frame_000007.jpg,v13,24819,data/processed/frames_v13_1fps/frame_000829.jpg,0.9782059192657471,10,49.43162600311435,32.10440897610566,35.20489992367119,32.10449723423704,35.20438617837347,49.43162600311435
v14,211,data/processed/frames_v14_1fps/frame_000008.jpg,v13,24819,data/processed/frames_v13_1fps/frame_000829.jpg,0.9713071584701538,10,60.06595839690396,32.104372420198374,35.20500587947097,32.10449723423704,35.20438617837347,60.06595839690396
v14,241,data/processed/frames_v14_1fps/frame_000009.jpg,v13,24099,data/processed/frames_v13_1fps/frame_000805.jpg,0.9628541469573975,10,63.187054731905334,32.104331407096986,35.20510882228229,32.104749986491555,35.2039378207298,119.85233978132281
v14,271,data/processed/frames_v14_1fps/frame_000010.jpg,v13,23949,data/processed/frames_v13_1fps/frame_000800.jpg,0.9596021771430969,10,30.528778960216545,32.10429408237294,35.20521170277337,32.105002268702435,35.20348952399442,180.52242022040278
v14,301,data/processed/frames_v14_1fps/frame_000011.jpg,v12,2369,data/processed/frames_v12_1fps/frame_000080.jpg,0.9634814858436584,10,38.55713439162289,32.10425440709698,35.20531382228229,32.104217189833,35.20488768194898,40.39740251913362
v14,331,data/processed/frames_v14_1fps/frame_000012.jpg,v13,9143,data/processed/frames_v13_1fps/frame_000306.jpg,0.9557604789733887,10,30.762332989458816,32.10421173797127,35.20541540478371,32.104059690539486,35.20497566707298,44.78798608281962
v14,361,data/processed/frames_v14_1fps/frame_000013.jpg,v12,421,data/processed/frames_v12_1fps/frame_000015.jpg,0.9573349356651306,10,25.376235369672422,32.10417641730536,35.20552035407427,32.10515334917709,35.205643252350356,109.36731347741919
v14,391,data/processed/frames_v14_1fps/frame_000014.jpg,v11,23966,data/processed/frames_v11_1fps/frame_000776.jpg,0.9622147083282471,10,9.76613793979333,32.10413842019841,35.20562487947099,32.10393909083085,35.20570897841774,23.563825139108623
v14,421,data/processed/frames_v14_1fps/frame_000015.jpg,v12,2878,data/processed/frames_v12_1fps/frame_000097.jpg,0.961261510848999,10,8.181196575140687,32.10410009337327,35.2057292307157,32.10315563169215,35.205298205151806,112.72004573599214
v14,451,data/processed/frames_v14_1fps/frame_000016.jpg,v13,9472,data/processed/frames_v13_1fps/frame_000317.jpg,0.9660516977310181,10,26.78602210575882,32.1040600639128,35.205830168334856,32.10346262677337,35.205888222921104,66.7313323121365
v14,481,data/processed/frames_v14_1fps/frame_000017.jpg,v13,9472,data/processed/frames_v13_1fps/frame_000317.jpg,0.9710136651992798,10,30.38097231993148,32.104021063912825,35.20593216833486,32.10346262677337,35.205888222921104,62.302906376049556
v14,511,data/processed/frames_v14_1fps/frame_000018.jpg,v13,9472,data/processed/frames_v13_1fps/frame_000317.jpg,0.9742969870567322,10,20.984339784638287,32.10398408237294,35.206034702773366,32.10346262677337,35.205888222921104,59.668957955318064
v14,541,data/processed/frames_v14_1fps/frame_000019.jpg,v13,9682,data/processed/frames_v13_1fps/frame_000324.jpg,0.9775593876838684,10,10.745577517918903,32.10394406391283,35.20613716833487,32.10387275726567,35.2066592422665,49.8666186877534
