query_frame_count,raw_lat,raw_lon,smoothed_lat,smoothed_lon,gt_lat,gt_lon,raw_error_m,smoothed_error_m
1,32.10449723,35.20438618,32.10448687,35.20440473,32.10455678,35.20442785,7.7057,8.0813
31,32.10449723,35.20438618,32.10447100,35.20442689,32.10457277,35.20445435,10.5841,11.6207
61,32.10449723,35.20438618,32.10444621,35.20446116,32.10455933,35.20450478,13.1473,13.2473
91,32.10449723,35.20438618,32.10442228,35.20450922,32.10452795,35.20458911,19.4386,13.9688
121,32.10449723,35.20438618,32.10439322,35.20456329,32.10449042,35.20469388,29.0251,16.3921
151,32.10449723,35.20438618,32.10435163,35.20462931,32.10444876,35.20479648,39.0647,19.1164
181,32.10449723,35.20438618,32.10430423,35.20470423,32.10440898,35.20489992,49.4307,21.8285
211,32.10449723,35.20438618,32.10425500,35.20479192,32.10437242,35.20500588,60.0648,24.0403
241,32.10449723,35.20438618,32.10420113,35.20488892,32.10433141,35.20510882,70.5990,25.3041
271,32.10421719,35.20488768,32.10414690,35.20499582,32.10429408,35.20521170,31.7305,26.1319
301,32.10405969,35.20497567,32.10408715,35.20512133,32.10425441,35.20531382,38.5567,26.0027
331,32.10379619,35.20533198,32.10402993,35.20525498,32.10421174,35.20541540,46.9226,25.2673
361,32.10393909,35.20570898,32.10397700,35.20539072,32.10417642,35.20552035,31.8486,25.3420
391,32.10385067,35.20569022,32.10393006,35.20552757,32.10413842,35.20562488,32.6193,24.9435
421,32.10346263,35.20588822,32.10388987,35.20566324,32.10410009,35.20572923,72.5289,24.2149
451,32.10346263,35.20588822,32.10385876,35.20579581,32.10406006,35.20583017,66.7313,22.6421
481,32.10366294,35.20606830,32.10383657,35.20592220,32.10402106,35.20593217,41.8822,20.5590
511,32.10366294,35.20606830,32.10382286,35.20604119,32.10398408,35.20603470,35.8898,17.9579
541,32.10382873,35.20616074,32.10381658,35.20615199,32.10394406,35.20613717,13.0301,14.2600
570,32.10390940,35.20624352,32.10380780,35.20625157,32.10390776,35.20623906,0.4589,11.1906
600,32.10395559,35.20644044,32.10379968,35.20634888,32.10387078,35.20634159,13.2674,7.9448
630,32.10395559,35.20644044,32.10379119,35.20643941,32.10383278,35.20644359,13.6741,4.6470
660,32.10393326,35.20655156,32.10377368,35.20652500,32.10379206,35.20654417,15.7333,2.7304
690,32.10387276,35.20665924,32.10374995,35.20661544,32.10375139,35.20664528,13.5746,2.8191
720,32.10389943,35.20675626,32.10372373,35.20670613,32.10371609,35.20675023,20.4167,4.2448
750,32.10389943,35.20675626,32.10368816,35.20680105,32.10367809,35.20685323,26.2811,5.0460
780,32.10389943,35.20675626,32.10364195,35.20689554,32.10363909,35.20695623,34.5753,5.7319
