frame_a,frame_b,dt_s,alt_mean_m,gsd_m_px,dx_px,dy_px,dr_dx_m,dr_dy_m,speed_m_s,n_matches,cum_x_m,cum_y_m
1,31,1.000,118.4,0.1240,3.75,20.62,-0.465,-2.558,2.60,379,-0.47,-2.56
31,61,1.001,118.4,0.1240,7.50,45.00,-0.930,-5.581,5.65,351,-1.40,-8.14
61,91,1.001,118.4,0.1240,9.38,69.37,-1.163,-8.604,8.67,308,-2.56,-16.74
91,121,1.001,118.4,0.1240,7.50,76.87,-0.930,-9.534,9.57,305,-3.49,-26.28
121,151,1.001,118.4,0.1240,9.38,76.88,-1.163,-9.534,9.59,319,-4.65,-35.81
151,181,1.001,118.3,0.1240,9.38,75.00,-1.162,-9.297,9.36,312,-5.81,-45.11
181,211,1.001,118.3,0.1240,5.62,71.25,-0.697,-8.832,8.85,320,-6.51,-53.94
211,241,1.001,118.4,0.1240,3.75,69.37,-0.465,-8.604,8.61,320,-6.98,-62.54
241,271,1.001,118.4,0.1240,5.62,67.50,-0.698,-8.371,8.39,302,-7.67,-70.91
271,301,1.000,118.4,0.1240,3.75,67.50,-0.465,-8.371,8.38,306,-8.14,-79.29
301,331,1.001,118.4,0.1240,3.75,66.56,-0.465,-8.255,8.26,306,-8.60,-87.54
331,361,1.001,118.4,0.1240,1.88,69.38,-0.233,-8.604,8.60,313,-8.84,-96.14
361,391,1.001,118.4,0.1240,3.75,69.38,-0.465,-8.604,8.61,309,-9.30,-104.75
391,421,1.001,118.4,0.1240,3.75,71.25,-0.465,-8.836,8.84,305,-9.77,-113.58
421,451,1.001,118.4,0.1240,1.88,69.37,-0.233,-8.604,8.60,295,-10.00,-122.19
451,481,1.001,118.4,0.1240,1.88,71.25,-0.233,-8.836,8.83,304,-10.23,-131.02
481,511,1.001,118.4,0.1240,1.88,73.12,-0.233,-9.069,9.06,273,-10.46,-140.09
511,541,1.001,118.4,0.1240,3.75,75.00,-0.465,-9.301,9.30,301,-10.93,-149.39
541,570,0.967,118.4,0.1240,1.88,75.00,-0.233,-9.301,9.62,302,-11.16,-158.69
570,600,1.001,118.4,0.1240,1.88,78.75,-0.233,-9.766,9.76,286,-11.39,-168.46
600,630,1.001,118.4,0.1240,0.00,80.62,-0.000,-9.999,9.99,287,-11.39,-178.46
630,660,1.001,118.4,0.1240,1.88,82.50,-0.233,-10.231,10.22,294,-11.63,-188.69
660,690,1.001,118.4,0.1240,1.88,82.50,-0.233,-10.231,10.22,297,-11.86,-198.92
690,720,1.001,118.4,0.1240,1.88,80.62,-0.233,-9.999,9.99,281,-12.09,-208.92
720,750,1.001,118.4,0.1240,1.88,76.88,-0.233,-9.534,9.53,275,-12.32,-218.45
750,780,1.000,118.4,0.1240,3.75,71.25,-0.465,-8.836,8.85,278,-12.79,-227.29
780,810,1.001,118.4,0.1240,0.00,71.25,-0.000,-8.836,8.83,299,-12.79,-236.13
810,840,1.001,118.4,0.1240,0.00,73.12,-0.000,-9.069,9.06,293,-12.79,-245.20
840,870,1.001,118.4,0.1240,0.00,69.38,-0.000,-8.604,8.60,301,-12.79,-253.80
870,900,1.001,118.4,0.1240,1.88,71.25,-0.233,-8.836,8.83,285,-13.02,-262.64
900,930,1.001,118.4,0.1240,1.88,73.12,-0.233,-9.069,9.06,285,-13.25,-271.70
930,960,1.001,118.4,0.1240,-1.88,75.00,0.233,-9.301,9.29,278,-13.02,-281.01
960,990,1.001,118.4,0.1240,-1.88,75.00,0.233,-9.301,9.29,299,-12.79,-290.31
990,1020,1.001,118.4,0.1240,-5.62,80.63,0.698,-9.999,10.01,274,-12.09,-300.31
1020,1050,1.001,118.4,0.1240,-7.50,84.37,0.930,-10.464,10.49,265,-11.16,-310.77
1050,1080,1.000,118.4,0.1240,-3.75,86.25,0.465,-10.696,10.71,270,-10.70,-321.47
1080,1110,1.001,118.4,0.1240,-3.75,90.00,0.465,-11.161,11.16,253,-10.23,-332.63
1110,1140,1.001,118.4,0.1240,-1.88,93.75,0.233,-11.627,11.62,250,-10.00,-344.25
1140,1170,1.001,118.4,0.1240,3.75,91.88,-0.465,-11.394,11.39,265,-10.46,-355.65
1170,1200,1.001,118.4,0.1240,7.50,90.00,-0.930,-11.161,11.19,260,-11.39,-366.81
1200,1230,1.001,118.4,0.1240,8.44,91.88,-1.046,-11.394,11.43,244,-12.44,-378.20
1230,1260,1.001,118.4,0.1240,9.38,93.75,-1.163,-11.627,11.67,253,-13.60,-389.83
1260,1290,1.001,118.4,0.1240,8.44,86.25,-1.046,-10.696,10.74,254,-14.65,-400.53
1290,1320,1.001,118.4,0.1240,9.38,88.12,-1.163,-10.929,10.98,256,-15.81,-411.45
1320,1350,1.001,118.4,0.1240,9.38,87.19,-1.163,-10.813,10.86,266,-16.97,-422.27
1350,1380,1.000,118.4,0.1240,11.25,90.94,-1.395,-11.278,11.36,256,-18.37,-433.54
1380,1410,1.001,118.4,0.1240,7.50,91.87,-0.930,-11.394,11.42,277,-19.30,-444.94
1410,1440,1.001,118.4,0.1240,6.56,93.75,-0.814,-11.627,11.64,272,-20.11,-456.57
1440,1470,1.001,118.4,0.1240,5.62,95.62,-0.698,-11.859,11.87,273,-20.81,-468.42
1470,1500,1.001,118.4,0.1240,3.75,95.62,-0.465,-11.859,11.86,264,-21.28,-480.28
1500,1530,1.001,118.4,0.1240,3.75,91.87,-0.465,-11.394,11.39,266,-21.74,-491.68
1530,1560,1.001,118.4,0.1240,1.88,91.87,-0.233,-11.394,11.38,275,-21.97,-503.07
1560,1590,1.001,118.4,0.1240,1.88,86.25,-0.233,-10.696,10.69,278,-22.21,-513.77
1590,1620,1.001,118.4,0.1240,5.62,86.25,-0.698,-10.696,10.71,291,-22.90,-524.46
1620,1650,1.001,118.4,0.1240,1.88,75.00,-0.233,-9.301,9.29,275,-23.14,-533.77
1650,1680,1.000,118.4,0.1240,0.00,54.38,-0.000,-6.743,6.74,301,-23.14,-540.51
1680,1709,0.968,118.4,0.1240,0.00,31.88,-0.000,-3.953,4.08,311,-23.14,-544.46
1709,1739,1.001,118.4,0.1240,0.00,26.25,-0.000,-3.255,3.25,318,-23.14,-547.72
1739,1769,1.001,118.4,0.1240,0.00,26.25,-0.000,-3.255,3.25,327,-23.14,-550.97
1769,1799,1.001,118.3,0.1240,-1.88,18.75,0.232,-2.324,2.33,316,-22.90,-553.30
1799,1829,1.001,117.4,0.1230,-1.88,9.38,0.231,-1.153,1.17,318,-22.67,-554.45
1829,1859,1.000,115.5,0.1210,-3.75,7.50,0.454,-0.908,1.01,331,-22.22,-555.36
1859,1889,1.001,113.6,0.1190,-3.75,11.25,0.446,-1.339,1.41,329,-21.77,-556.70
